model,variant,split,accuracy,precision,recall,f1,roc_auc
logreg,baseline,train,0.7696924231057765,0.36049382716049383,0.7525773195876289,0.48747913188647746,0.8248056262049365
logreg,baseline,test,0.775112443778111,0.36180904522613067,0.7578947368421053,0.4897959183673469,0.8302355539197643
knn,baseline,train,1.0,1.0,1.0,1.0,1.0
knn,baseline,test,0.8770614692653673,0.8823529411764706,0.15789473684210525,0.26785714285714285,0.8740522635259477
rf,baseline,train,1.0,1.0,1.0,1.0,1.0
rf,baseline,test,0.9415292353823088,0.9827586206896551,0.6,0.7450980392156863,0.9195620169304379
logreg,tuned,train,0.7693173293323331,0.36039360393603936,0.7551546391752577,0.48792672772689427,0.8249221599703122
logreg,tuned,test,0.7766116941529235,0.365,0.7684210526315789,0.49491525423728816,0.8307508281192492
logreg,threshold_tuned,train,0.8083270817704427,0.4040561622464899,0.6675257731958762,0.5034013605442177,0.8249221599703122
logreg,threshold_tuned,test,0.8035982008995503,0.39285714285714285,0.6947368421052632,0.5019011406844106,0.8307508281192492
knn,tuned,train,0.9328582145536384,0.9300411522633745,0.5824742268041238,0.716323296354992,0.9709491505480481
knn,tuned,test,0.896551724137931,0.7954545454545454,0.3684210526315789,0.5035971223021583,0.7835664335664335
knn,threshold_tuned,train,0.8938484621155289,0.5782414307004471,1.0,0.732766761095373,0.9709491505480481
knn,threshold_tuned,test,0.8110944527736131,0.40372670807453415,0.6842105263157895,0.5078125,0.7835664335664335
rf,tuned,train,0.9984996249062266,0.9897959183673469,1.0,0.9948717948717949,0.999944561606763
rf,tuned,test,0.95952023988006,0.9146341463414634,0.7894736842105263,0.847457627118644,0.9150993743099005
